Date,Exchange_Rate,diffUstoKr,DXY,KOSPI,Oil
2021-10-04,1180.0,-0.7219999991357327,93.80999755859375,3019.179931640625,77.62000274658203
2021-10-05,1183.780029296875,-0.7149999998509884,93.9800033569336,2962.169921875,78.93000030517578
2021-10-06,1187.1700439453125,-0.7100000008940697,94.2699966430664,2908.31005859375,77.43000030517578
2021-10-07,1191.3800048828125,-0.7100000008940697,94.22000122070312,2959.4599609375,78.30000305175781
2021-10-08,1191.1500244140625,-0.7100000008940697,94.06999969482422,2956.300048828125,79.3499984741211
2021-10-11,1195.5799560546875,-0.7100000008940697,94.31999969482422,2956.300048828125,80.5199966430664
2021-10-12,1195.800048828125,-0.7100000008940697,94.5199966430664,2916.3798828125,80.63999938964844
2021-10-13,1196.8900146484375,-0.7049999982118607,94.08000183105469,2944.409912109375,80.44000244140625
2021-10-14,1186.7099609375,-0.7100000008940697,93.95999908447266,2988.639892578125,81.30999755859375
2021-10-15,1182.1300048828125,-0.7120000012218952,93.94000244140625,3015.06005859375,82.27999877929688
2021-10-18,1181.7900390625,-0.7069999985396862,93.94999694824219,3006.679931640625,82.44000244140625
2021-10-19,1185.6800537109375,-0.6999999992549419,93.79000091552734,3029.0400390625,82.95999908447266
2021-10-20,1175.6500244140625,-0.6999999992549419,93.55999755859375,3013.1298828125,83.87000274658203
2021-10-21,1174.5899658203125,-0.6999999992549419,93.7699966430664,3007.330078125,82.5
2021-10-22,1176.550048828125,-0.6999999992549419,93.61000061035156,3006.159912109375,83.76000213623047
2021-10-25,1176.5400390625,-0.6999999992549419,93.80999755859375,3020.5400390625,83.76000213623047
2021-10-26,1167.06005859375,-0.6999999992549419,93.94999694824219,3049.080078125,84.6500015258789
2021-10-27,1167.3299560546875,-0.6999999992549419,93.86000061035156,3025.489990234375,82.66000366210938
2021-10-28,1172.1700439453125,-0.7019999995827675,93.3499984741211,3009.550048828125,82.80999755859375
2021-10-29,1167.3699951171875,-0.7019999995827675,94.12000274658203,2970.679931640625,83.56999969482422
2021-11-01,1174.3800048828125,-0.7100000008940697,93.87999725341797,2978.93994140625,84.05000305175781
2021-11-02,1176.5699462890625,-0.7049999982118607,94.08999633789062,3013.489990234375,83.91000366210938
2021-11-03,1178.0400390625,-0.7049999982118607,93.86000061035156,2975.7099609375,80.86000061035156
2021-11-04,1179.3399658203125,-0.7149999998509884,94.3499984741211,2983.219970703125,78.80999755859375
2021-11-05,1185.8299560546875,-0.7100000008940697,94.31999969482422,2969.27001953125,81.2699966430664
2021-11-08,1180.5,-0.7149999998509884,94.05000305175781,2960.199951171875,81.93000030517578
2021-11-09,1199.8599853515625,-0.7100000008940697,93.95999908447266,2962.4599609375,84.1500015258789
2021-11-10,1177.5,-0.7049999982118607,94.8499984741211,2930.169921875,81.33999633789062
2021-11-11,1184.1400146484375,-0.7100000008940697,95.18000030517578,2924.919921875,81.58999633789062
2021-11-12,1183.1099853515625,-0.7069999985396862,95.12999725341797,2968.800048828125,80.79000091552734
2021-11-15,1179.1099853515625,-0.7120000012218952,95.41000366210938,2999.52001953125,80.87999725341797
2021-11-16,1183.510009765625,-0.7100000008940697,95.91999816894531,2997.2099609375,80.76000213623047
2021-11-17,1184.050048828125,-0.7049999982118607,95.83000183105469,2962.419921875,78.36000061035156
2021-11-18,1181.22998046875,-0.7049999982118607,95.54000091552734,2947.3798828125,79.01000213623047
2021-11-19,1182.9000244140625,-0.7049999982118607,96.06999969482422,2971.02001953125,76.0999984741211
2021-11-22,1191.6300048828125,-0.7100000008940697,96.5,3013.25,76.75
2021-11-23,1189.5,-0.7049999982118607,96.48999786376953,2997.330078125,78.5
2021-11-24,1189.949951171875,-0.6999999992549419,96.83999633789062,2994.2900390625,78.38999938964844
2021-11-25,1187.8800048828125,-0.9499999992549419,96.83999633789062,2980.27001953125,78.38999938964844
2021-11-26,1190.219970703125,-0.9569999985396862,96.08999633789062,2936.43994140625,68.1500015258789
2021-11-29,1194.6099853515625,-0.9620000012218952,96.33999633789062,2909.320068359375,69.94999694824219
2021-11-30,1190.739990234375,-0.9519999995827675,95.98999786376953,2839.010009765625,66.18000030517578
2021-12-01,1182.8599853515625,-0.9499999992549419,96.05000305175781,2899.719970703125,65.56999969482422
2021-12-02,1177.1099853515625,-0.9569999985396862,96.12999725341797,2945.27001953125,66.5
2021-12-03,1176.77001953125,-0.9569999985396862,96.12000274658203,2968.330078125,66.26000213623047
2021-12-06,1183.1400146484375,-0.9569999985396862,96.29000091552734,2973.25,69.48999786376953
2021-12-07,1180.56005859375,-0.94200000166893,96.37000274658203,2991.719970703125,72.05000305175781
2021-12-08,1176.8399658203125,-0.9400000013411045,95.88999938964844,3001.800048828125,72.36000061035156
2021-12-09,1172.56005859375,-0.9470000006258488,96.2699966430664,3029.570068359375,70.94000244140625
2021-12-10,1177.3299560546875,-0.9499999992549419,96.05000305175781,3010.22998046875,71.66999816894531
2021-12-13,1178.969970703125,-0.9569999985396862,96.31999969482422,3001.659912109375,71.29000091552734
