Date,Exchange_Rate,diffUstoKr,DXY,KOSPI,Oil
2020-04-15,1212.380005,-0.634999998,99.45999908,1857.079956,19.87000084
2020-04-16,1222.550049,-0.640000001,100.0299988,1857.069946,19.87000084
2020-04-17,1226.640015,-0.647,99.77999878,1914.530029,18.27000046
2020-04-20,1215.26001,-0.68,99.95999908,1898.359985,-37.63000107
2020-04-21,1218.099976,-0.652000003,100.2600021,1879.380005,10.01000023
2020-04-22,1230.849976,-0.656999998,100.3899994,1896.150024,13.77999973
2020-04-23,1231.380005,-0.656999998,100.4300003,1914.72998,16.5
2020-04-24,1232.449951,-0.649999999,100.3799973,1889.01001,16.94000053
2020-04-27,1229.5,-0.656999998,100.0400009,1922.77002,12.77999973
2020-04-28,1220.869995,-0.664999999,99.87000275,1934.089966,12.34000015
2020-04-29,1220.400024,-0.659999996,99.56999969,1947.560059,15.06000042
2020-04-30,1210.790039,-0.659999996,99.01999664,1947.560059,18.84000015
2020-05-01,1212.959961,-0.656999998,98.80000305,1947.560059,19.78000069
2020-05-04,1223.780029,-0.659999996,99.48000336,1895.369995,20.38999939
2020-05-05,1222.449951,-0.640000001,99.70999908,1895.369995,24.55999947
2020-05-06,1221.25,-0.641999997,100.0899963,1928.76001,23.98999977
2020-05-07,1228.530029,-0.655000001,99.88999939,1928.609985,23.54999924
2020-05-08,1218.630005,-0.655000001,99.73000336,1945.819946,24.73999977
2020-05-11,1218.699951,-0.645000003,100.2399979,1935.400024,24.13999939
2020-05-12,1222.400024,-0.626999997,99.93000031,1922.170044,25.78000069
2020-05-13,1225.650024,-0.634999998,100.2399979,1940.420044,25.29000092
2020-05-14,1226.550049,-0.645000003,100.4700012,1924.959961,27.55999947
2020-05-15,1225.459961,-0.647,100.4000015,1927.280029,29.43000031
2020-05-18,1232.089966,-0.645000003,99.66999817,1937.109985,31.81999969
2020-05-19,1224.199951,-0.631999999,99.37000275,1980.609985,32.5
2020-05-20,1224.319946,-0.631999999,99.12000275,1989.640015,33.49000168
2020-05-21,1226.550049,-0.640000001,99.37000275,1998.310059,33.91999817
2020-05-22,1233.390015,-0.640000001,99.86000061,1970.130005,33.25
2020-05-25,1239.550049,-0.640000001,99.86000061,1994.599976,33.25
2020-05-26,1240.02002,-0.631999999,98.91000366,2029.780029,34.34999847
2020-05-27,1230.869995,-0.614999995,99.05999756,2031.199951,32.81000137
2020-05-28,1238.300049,-0.362000003,98.37999725,2028.540039,33.70999908
2020-05-29,1237.97998,-0.371999994,98.33999634,2029.599976,35.49000168
2020-06-01,1230.469971,-0.371999994,97.83000183,2065.080078,35.43999863
2020-06-02,1222.98999,-0.355000004,97.66999817,2087.189941,36.81000137
2020-06-03,1219.140015,-0.351999998,97.27999878,2147,37.29000092
2020-06-04,1215.819946,-0.359999999,96.68000031,2151.179932,37.40999985
2020-06-05,1215.380005,-0.355000004,96.94000244,2181.870117,39.54999924
2020-06-08,1201.109985,-0.347000003,96.62000275,2184.290039,38.18999863
2020-06-09,1195.72998,-0.334999993,96.31999969,2188.919922,38.93999863
2020-06-10,1197.300049,-0.334999993,95.95999908,2195.689941,39.59999847
2020-06-11,1189.73999,-0.347000003,96.73000336,2176.780029,36.34000015
2020-06-12,1204.76001,-0.349999994,97.31999969,2132.300049,36.25999832
2020-06-15,1202.609985,-0.344999999,96.68000031,2030.819946,37.11999893
2020-06-16,1206.900024,-0.340000004,96.95999908,2138.050049,38.38000107
2020-06-17,1211.150024,-0.334999993,97.16000366,2141.050049,37.95999908
2020-06-18,1214.349976,-0.359999999,97.41999817,2133.47998,38.84000015
2020-06-19,1211.359985,-0.356999993,97.62000275,2141.320068,39.75
2020-06-22,1210.890015,-0.359999999,97.04000092,2126.72998,40.45999908
2020-06-23,1208,-0.359999999,96.69000244,2131.23999,40.36999893
2020-06-24,1207.949951,-0.364999995,97.15000153,2161.51001,38.00999832
2020-06-25,1205.25,-0.370000005,97.43000031,2112.370117,38.72000122
2020-06-26,1201.52002,-0.366999999,97.5,2134.649902,38.49000168
2020-06-29,1202.630005,-0.375,97.54000092,2093.47998,39.70000076
2020-06-30,1198.48999,-0.364999995,97.38999939,2108.330078,39.27000046
2020-07-01,1198.390015,-0.370000005,97.19999695,2106.699951,39.81999969
2020-07-02,1200.699951,-0.366999999,97.31999969,2135.370117,40.65000153
2020-07-03,1198.170044,-0.366999999,97.31999969,2152.409912,40.65000153
2020-07-06,1198.5,-0.371999994,96.79000092,2187.929932,40.63000107
2020-07-07,1190.930054,-0.359999999,96.87999725,2164.169922,40.61999893
2020-07-08,1195.699951,-0.364999995,96.43000031,2158.879883,40.90000153
2020-07-09,1192.02002,-0.376999997,96.69999695,2167.899902,39.61999893
2020-07-10,1195.77002,-0.380000003,96.65000153,2150.25,40.54999924
2020-07-13,1199.52002,-0.375,96.45999908,2186.060059,40.09999847
2020-07-14,1203.780029,-0.366999999,96.26000214,2183.610107,40.29000092
2020-07-15,1203.97998,-0.375,96.08000183,2201.879883,41.20000076
2020-07-16,1200.469971,-0.397,96.34999847,2183.76001,40.75
2020-07-17,1204.22998,-0.395000003,95.94000244,2201.189941,40.59000015
2020-07-20,1202.530029,-0.395000003,95.83000183,2198.199951,40.81000137
2020-07-21,1200.030029,-0.390000001,95.12000275,2228.830078,41.95999908
2020-07-22,1192.73999,-0.399999999,94.97000122,2228.659912,41.90000153
2020-07-23,1197.22998,-0.397,94.69000244,2216.189941,41.06999969
2020-07-24,1200.939941,-0.402000003,94.44000244,2200.439941,41.29000092
2020-07-27,1200.48999,-0.406999998,93.66999817,2217.860107,41.59999847
2020-07-28,1195.920044,-0.397,93.76000214,2256.98999,41.04000092
2020-07-29,1199.369995,-0.409999996,93.26000214,2263.159912,41.27000046
2020-07-30,1190.72998,-0.414999999,93.01999664,2267.01001,39.91999817
2020-07-31,1189.560059,-0.417000003,93.48999786,2249.370117,40.27000046
2020-08-03,1193.390015,-0.421999998,93.5,2251.040039,41.00999832
2020-08-04,1191.76001,-0.409999996,93.37999725,2279.969971,41.70000076
2020-08-05,1192.25,-0.405000001,92.83000183,2311.860107,42.18999863
2020-08-06,1185.180054,-0.412,92.79000092,2342.610107,41.95000076
2020-08-07,1183.170044,-0.412,93.44000244,2351.669922,41.22000122
2020-08-10,1188.150024,-0.412,93.58000183,2386.379883,41.93999863
2020-08-11,1185.189941,-0.399999999,93.62999725,2418.669922,41.61000061
2020-08-12,1184.97998,-0.399999999,93.44000244,2432.350098,42.66999817
2020-08-13,1182.75,-0.409999996,93.33999634,2437.530029,42.24000168
2020-08-14,1184.119995,-0.412,93.09999847,2407.48999,42.00999832
2020-08-17,1186.040039,-0.414999999,92.84999847,2407.48999,42.88999939
2020-08-18,1183.099976,-0.399999999,92.26999664,2348.23999,42.88999939
2020-08-19,1183.640015,-0.405000001,92.88999939,2360.540039,42.93000031
2020-08-20,1181.209961,-0.412,92.79000092,2274.219971,42.58000183
2020-08-21,1184.290039,-0.412,93.25,2304.590088,42.34000015
2020-08-24,1191.199951,-0.414999999,93.30000305,2329.830078,42.61999893
2020-08-25,1188.25,-0.405000001,93.01999664,2366.72998,43.34999847
2020-08-26,1186.459961,-0.406999998,93.01000214,2369.320068,43.38999939
2020-08-27,1183.849976,-0.405000001,93.01000214,2344.449951,43.04000092
2020-08-28,1186.579956,-0.405000001,92.37000275,2353.800049,42.97000122
2020-08-31,1179.589966,-0.405000001,92.13999939,2326.169922,42.61000061
2020-09-01,1187.040039,-0.399999999,92.33999634,2349.550049,42.75999832
2020-09-02,1184.920044,-0.399999999,92.84999847,2364.370117,41.50999832
2020-09-03,1188.650024,-0.399999999,92.73999786,2395.899902,41.36999893
2020-09-04,1190.780029,-0.397,92.72000122,2368.25,39.77000046
2020-09-07,1186.420044,-0.397,92.72000122,2384.219971,39.77000046
2020-09-08,1186.810059,-0.391999997,93.48000336,2401.909912,36.75999832
2020-09-09,1189.23999,-0.395000003,93.26000214,2375.810059,38.04999924
2020-09-10,1184.380005,-0.397,93.33999634,2396.47998,37.29999924
2020-09-11,1187.22998,-0.397,93.33000183,2396.689941,37.33000183
2020-09-14,1186.969971,-0.399999999,93.06999969,2427.909912,37.25999832
2020-09-15,1180.839966,-0.399999999,93.05000305,2443.580078,38.27999878
2020-09-16,1179.25,-0.399999999,93.20999908,2435.919922,40.15999985
2020-09-17,1172.069946,-0.414999999,92.97000122,2406.169922,40.97000122
2020-09-18,1168.650024,-0.417000003,92.93000031,2412.399902,41.11000061
2020-09-21,1163.98999,-0.420000002,93.54000092,2389.389893,39.31000137
2020-09-22,1163.849976,-0.412,93.98999786,2332.590088,39.59999847
2020-09-23,1162.5,-0.412,94.38999939,2333.23999,39.93000031
2020-09-24,1169.72998,-0.406999998,94.34999847,2272.699951,40.31000137
2020-09-25,1168.5,-0.409999996,94.58000183,2278.790039,40.25
2020-09-28,1173.439941,-0.412,94.26000214,2308.080078,40.59999847
2020-09-29,1166.410034,-0.414999999,93.88999939,2327.889893,39.29000092
2020-09-30,1167.859985,-0.414999999,93.88999939,2327.889893,40.22000122
2020-10-01,1163.780029,-0.417000003,93.70999908,2327.889893,38.72000122
2020-10-02,1161.97998,-0.414999999,93.83999634,2327.889893,37.04999924
2020-10-05,1165.359985,-0.414999999,93.51000214,2358,39.22000122
2020-10-06,1156.089966,-0.412,93.83000183,2365.899902,40.66999817
2020-10-07,1163.890015,-0.412,93.62999725,2386.939941,39.95000076
2020-10-08,1156.5,-0.412,93.61000061,2391.959961,41.18999863
2020-10-09,1150.359985,-0.406999998,93.05999756,2391.959961,40.59999847
